name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, multiple_name_flag, payload_flag, operational_status_code, satellite_name, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
AAUSat-4, NR (6/16), Denmark, University of Aalborg, Civil, Earth Observation, Automatic Identification System (AIS), LEO, Sun-Synchronous, 0, 442, 687, 0.01766529670488139, 98.2, 95.9, 1, null, null, 2016-04-25, null, University of Aalborg, Denmark, Guiana Space Center, Soyuz 2.1a, 2016-025E, 41460, Carries AIS system., null, Space50, http://spaceflightnow.com/2016/04/26/soyuz-blasts-off-with-environmental-satellite-general-relativity-probe/, http://space50.org/objekt.php?mot=2016-025E&jazyk=pp_en, null, null, null, null, 2016, 25, E, null, *, +, AAUSAT 4, DEN, 2016-01-25, FRGUI, null, 98.1, null, 655, 435, 0.068, null
ABS-2 (Koreasat-8. ST-3), NR, Multinational, Asia Broadcast Satellite Ltd., Commercial, Communications, null, GEO, null, 75, 35778, 35793, 0.00017791272787655228, 0.08, 1436.03, 6330, null, 16000, 2014-02-06, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane  5 ECA, 2014-006A, 39508, 32 C-band. 51 Ku-band. and 6 Ka-band transponders. $214 million lawsuit for bad beam., null, ZARYA, http://www.absatellite.net/satellite-fleet/?sat=abs6, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/, http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam, null, null, 2014, 6, A, null, *, P, ABS-2, ABS, 2014-01-06, FRGUI, null, 0, null, 35803, 35770, 0.3533, null
Advanced Orion 4 (NRO L-26. USA 202), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Electronic Intelligence, GEO, null, 44, 35714, 35937, 0.0026424618738965055, 2.89, 1438.8, 5000, null, null, 2009-01-18, null, National Reconnaissance Laboratory (?), USA, Cape Canaveral, Delta 4 Heavy, 2009-001A, 33490, ELINT., null, SC - ASCR, http://www.globalsecurity.org/space/systems/trumpet.htm, http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html, http://www.sworld.com.au/steven/space/usmil-man.txt, http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/, null, null, 2009, 1, A, M, *, +, USA 202, US, 2009-01-18, AFETR, null, 5.4, null, 35836, 35737, null, NEA
Astra 1KR, Luxembourg, Luxembourg, SES (Société Européenne des Satellites (SES)), Commercial, Communications, null, GEO, null, 19.16, 35766, 35807, 0.0004862832540652094, 0.08, 1436.1, 4332, null, 12000, 2006-04-20, 15 yrs., Lockheed Martin Commercial Space Systems, USA, Cape Canaveral, Atlas 5, 2006-012A, 29055, 32 Ku-band transponders; direct-to-home broadcast services across Europe., null, JM/12_08, www.astra.lu/corporate/satellites/fleet, http://www.lib.cas.cz/www/space.40/2006/012A.HTM, http://en.wikipedia.org/wiki/Astra_1KR, http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf, null, null, 2006, 12, A, null, *, +, ASTRA 1KR, SES, 2006-01-20, AFETR, null, 0.1, null, 35791, 35782, 14.4313, null
Pléiades HR1A, France, France/Italy, Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria. Belgium. Spain. Sweden, Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 697, 699, 0.0001414827391058291, 98.2, 98.7, 1000, null, 1500, 2011-12-17, 5 yrs., Astrium, France, Guiana Space Center, Soyuz 2/Fregat, 2011-076F, 38012, Optical component of the ORFEO system developed in cooperation with Italy -- Very high resolution panchromatic and multispectral Earth observation satellite., null, www.satellitedebris.net 12/12, http://smsc.cnes.fr/PLEIADES/GP_mission.htm, http://www.lib.cas.cz/space.40/2011/I076F.HTM, null, null, null, null, 2011, 76, F, null, *, +, PLEIADES 1A, FR, 2011-01-17, FRGUI, null, 98.2, null, 699, 697, 5.3462, null
Pléiades HR1B, France, France, Ministry of Defense/Centre National d'Etudes Spatiales (CNES) - cooperation with Austria. Belgium. Spain. Sweden, Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 678, 691, 0.0009213976894181019, 98.5, 98.45, 970, null, null, 2012-12-02, 5 yrs., Astrium, France, Guiana Space Center, Soyuz STA/Fregat, 2012-068A, 39019, Both government and military., null, SC - ASCR, http://space50.kosmo.cz/s40/2012/I068A.HTM, http://www.satimagingcorp.com/satellite-sensors/pleiades-1b.html, https://directory.eoportal.org/web/eoportal/satellite-missions/p/pleiades, null, null, null, 2012, 68, A, null, *, +, PLEIADES 1B, FR, 2012-01-02, FRGUI, null, 98.2, null, 699, 697, 5.438, null
PolyITAN-1, NR, Ukraine, National Technical University, Civil, Technology Development, null, LEO, Sun-Synchronous, 0, 606, 626, 0.0014314342971657602, 97.99, 97.03, 1, null, null, 2014-06-19, null, National Technical University, Ukraine, Dombarovsky Air Base, Dnepr, 2014-033AJ, 40042, Perform test and demonstration objectives in space., null, ZARYA, http://www.spaceflight101.com/dnepr-launch-updates---2014-cluster-launch.html, null, null, null, null, null, 2014, 33, AJ, null, *, +, POLYITAN-1, UKR, 2014-01-19, DLS, null, 97.9, null, 612, 593, 0.072, null
Popsat-HIP, NR, Singapore, Microspace Rapid Pte Ltd., Commercial, Technology Development, null, LEO, Sun-Synchronous, 0, 604, 623, 0.0013603493950025058, 97.99, 96.97, 3, null, null, 2014-06-19, null, Microspace Rapid Pte Ltd., Singapore, Dombarovsky Air Base, Dnepr, 2014-033U, 40028, Technology development of optical payload and propulsion system., null, ZARYA, http://www.micro-space.org/classic/popsat.html, http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=219, http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=219, null, null, null, 2014, 33, U, null, *, -, POPSAT-HIP-1, SING, 2014-01-19, DLS, null, 97.9, null, 610, 593, 0.111, null
Prism (Pico-satellite for Remote-sensing and Innovative Space Missions. Hitomi), Japan, Japan, University of Tokyo, Civil, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 600, 627, 0.00193312808763514, 98.2, 97, 5, null, null, 2009-01-23, null, University of Tokyo, Japan, Tanegashima Space Center, H2A, 2009-002B, 33493, Expandable refracting telescope; technology demonstration., null, www.satellitedebris.net 12/12, http://nssdc.gsfc.nasa.gov/spacewarn.spx663.html, null, null, null, null, null, 2009, 2, B, null, *, -, PRISM (HITOMI), JPN, 2009-01-23, TANSC, null, 98.1, null, 588, 567, 0.0956, null
Proba 1 (Project for On-Board Autonomy), ESA, ESA, European Space Agency (ESA), Government, Technology Demonstration, null, LEO, Sun-Synchronous, 0, 553, 676, 0.008805211539838213, 97.9, 96.98, 100, null, 100, 2001-10-22, 2 yrs., Verhaert Design and Development NV (leading a European consortium), Belgium, Satish Dhawan Space Center, PSLV C3, 2001-049B, 26958, First a technology demonstration. then extended for one year for remote sensing; looks like a washing machine., null, JMSatcat304, http://perso.wanadoo.fr/eurospace/espdatabase/index.html, http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html, http://www.esa.int/SPECIALS/Proba_web_site/ESAQ9KTHN6D_0.html, null, null, null, 2001, 49, B, null, *, +, PROBA-1, ESA, 2001-01-22, SRILR, null, 97.7, null, 631, 532, null, null
