name_of_satellite_alternate_names, country_org_of_un_registry, country_of_operator_owner, operator_owner, users, purpose, detailed_purpose, class_of_orbit, type_of_orbit, longitude_of_geo_degrees, perigee_km, apogee_km, eccentricity, inclination_degrees, period_minutes, launch_mass_kg, dry_mass_kg, power_watts, date_of_launch, expected_lifetime, contractor, country_of_contractor, launch_site, launch_vehicle, cospar_number, norad_number, comments, column_ab, source_used_for_orbital_data, source, source_2, source_3, source_4, source_5, source_6, launch_year, launch_of_the_year, piece_of_the_launch, norad_catalog_number, multiple_name_flag, payload_flag, operational_status_code, source_or_ownership, launch_date, launch_site, decay_date, orbital_period, inclination, apogee_altitude, perigee_altitude, radar_cross_section, orbital_status_code
ABS-2 (Koreasat-8. ST-3), NR, Multinational, Asia Broadcast Satellite Ltd., Commercial, Communications, null, GEO, null, 75, 35778, 35793, 0.00017791272787655228, 0.08, 1436.03, 6330, null, 16000, 2014-02-06, 15 yrs., Space Systems/Loral, USA, Guiana Space Center, Ariane  5 ECA, 2014-006A, 39508, 32 C-band. 51 Ku-band. and 6 Ka-band transponders. $214 million lawsuit for bad beam., null, ZARYA, http://www.absatellite.net/satellite-fleet/?sat=abs6, http://www.zarya.info/Diaries/Launches/Launches.php?year=2014, http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/, http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam, null, null, 2014, 6, A, 39508, null, *, P, ABS, 2014-01-06, FRGUI, null, 0, null, 35803, 35770, 0.3533, null
Advanced Orion 4 (NRO L-26. USA 202), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Electronic Intelligence, GEO, null, 44, 35714, 35937, 0.0026424618738965055, 2.89, 1438.8, 5000, null, null, 2009-01-18, null, National Reconnaissance Laboratory (?), USA, Cape Canaveral, Delta 4 Heavy, 2009-001A, 33490, ELINT., null, SC - ASCR, http://www.globalsecurity.org/space/systems/trumpet.htm, http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html, http://www.sworld.com.au/steven/space/usmil-man.txt, http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
Advanced Orion 4 (NRO L-26. USA 202), USA, USA, National Reconnaissance Office (NRO), Military, Earth Observation, Electronic Intelligence, GEO, null, 44, 35714, 35937, 0.0026424618738965055, 2.89, 1438.8, 5000, null, null, 2009-01-18, null, National Reconnaissance Laboratory (?), USA, Cape Canaveral, Delta 4 Heavy, 2009-001A, 33490, ELINT., null, SC - ASCR, http://www.globalsecurity.org/space/systems/trumpet.htm, http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html, http://www.sworld.com.au/steven/space/usmil-man.txt, http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/, null, null, 2009, 1, A, 33490, M, *, +, US, 2009-01-18, AFETR, null, 5.4, null, 35836, 35737, null, NEA
QB50P1 (EO 79), Belgium, Belgium, von Karman Institute, Civil, Space Science, null, LEO, Sun-Synchronous, 0, 605, 621, 0.0011456394099957038, 97.98, 96.96, 2, null, null, 2014-06-19, null, Innovative Solutions in Space (ISIS), Netherlands, Dombarovsky Air Base, Dnepr, 2014-033R, 40025, The QB50 mission will demonstrate the possibility of launching a network of 50 CubeSats built by Universities Teams all over the world as a primary payload on a low-cost launch vehicle to perform first-class science in the largely unexplored lower thermosphere., null, ZARYA, https://www.qb50.eu/index.php/community, null, null, null, null, null, 2014, 33, R, 40025, M, *, +, BEL, 2014-01-19, DLS, null, 97.9, null, 609, 594, 0.062, null
QB50P2 (EO 80), Belgium, Belgium, von Karman Institute, Civil, Space Science, null, LEO, Sun-Synchronous, 0, 607, 622, 0.0010738062853461235, 97.98, 96.98, 2, null, null, 2014-06-19, null, Innovative Solutions in Space (ISIS), Netherlands, Dombarovsky Air Base, Dnepr, 2014-033Y, 40032, The QB50 mission will demonstrate the possibility of launching a network of 50 CubeSats built by Universities Teams all over the world as a primary payload on a low-cost launch vehicle to perform first-class science in the largely unexplored lower thermos, null, ZARYA, https://www.qb50.eu/index.php/community, null, null, null, null, null, 2014, 33, Y, 40032, M, *, +, BEL, 2014-01-19, DLS, null, 97.9, null, 610, 595, 0.063, null
Rapid Pathfinder Program (NROL-66. USA 225), USA, USA, National Reconnaissance Office (NRO), Military, Technology Development, null, LEO, Polar, 0, 1199, 1202, 0.00019813750743015652, 90, 109.42, 350, null, null, 2011-02-06, null, National Reconnaissance Laboratory, USA, Vandenberg AFB, Minotaur 4, 2011-006A, 37364, null, null, ZARYA, http://www.spaceflightnow.com/minotaur/nrol66/index.html, http://www.spaceref.com/news/viewsr.rss.spacewire.html?pid=36232, http://www.zarya.info/Diaries/Launches/Launches.php?year=2011#080, null, null, null, 1984, 65, A, 15063, null, *, D, US, 1984-01-25, AFWTR, 1984-01-18, null, null, null, null, null, NEA
Rapid Pathfinder Program (NROL-66. USA 225), USA, USA, National Reconnaissance Office (NRO), Military, Technology Development, null, LEO, Polar, 0, 1199, 1202, 0.00019813750743015652, 90, 109.42, 350, null, null, 2011-02-06, null, National Reconnaissance Laboratory, USA, Vandenberg AFB, Minotaur 4, 2011-006A, 37364, null, null, ZARYA, http://www.spaceflightnow.com/minotaur/nrol66/index.html, http://www.spaceref.com/news/viewsr.rss.spacewire.html?pid=36232, http://www.zarya.info/Diaries/Launches/Launches.php?year=2011#080, null, null, null, 1987, 43, A, 17997, null, *, null, US, 1987-01-15, AFWTR, null, null, null, null, null, null, NEA
Rapid Pathfinder Program (NROL-66. USA 225), USA, USA, National Reconnaissance Office (NRO), Military, Technology Development, null, LEO, Polar, 0, 1199, 1202, 0.00019813750743015652, 90, 109.42, 350, null, null, 2011-02-06, null, National Reconnaissance Laboratory, USA, Vandenberg AFB, Minotaur 4, 2011-006A, 37364, null, null, ZARYA, http://www.spaceflightnow.com/minotaur/nrol66/index.html, http://www.spaceref.com/news/viewsr.rss.spacewire.html?pid=36232, http://www.zarya.info/Diaries/Launches/Launches.php?year=2011#080, null, null, null, 2011, 6, A, 37364, null, *, +, US, 2011-01-06, AFWTR, null, null, null, null, null, null, NEA
RASAT, Turkey, Turkey, Space Technologies Research Institute, Government, Earth Observation, Optical Imaging, LEO, Sun-Synchronous, 0, 667, 697, 0.002127056154282473, 98.2, 98.4, 113, null, null, 2011-08-17, 3 yrs., Space Technologies Research Institute, Turkey, Dombarovsky Air Base, Dnepr 1 , 2011-044D, 37791, Primary objectives are to advance Turkish space technology and know-how and observe natural and manmade disasters. monitor coastline changes and pollution. detect illegal settlements and urban land changes. and update existing maps., null, www.satellitedebris.net 12/12, http://www.asmmag.com/201108192003/rasat-earth-observation-satellite-puts-turkey-in-space.html, http://www.lib.cas.cz/space.40/2011/044D.HTM, null, null, null, null, 2011, 44, D, 37791, null, *, +, TURK, 2011-01-17, DLS, null, 98.1, null, 694, 662, 0.581, null
SARAL (Satellite with ARGOS and ALTIKA), NR, India/France, Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES), Government, Earth Observation, Earth Science, LEO, Sun-Synchronous, 0, 782, 785, 0.00020968756552736424, 98.5, 100.53, 407, null, 906, 2013-02-25, 5 yrs., Indian Space Research Organization (ISRO), India, Satish Dhawan Space Center, PSLV, 2013-009A, 39086, Joint effort. ISRO and CNES., null, SC - ASCR, http://www.isro.org/satellites/saral.aspx, http://space50.kosmo.cz/s40/2013/INDEX1.HTM, null, null, null, null, 1991, 50, E, 21578, null, *, null, FR, 1991-01-17, FRGUI, null, 98.5, null, 714, 711, 0.501, null
